"emp_no","first_name","last_name","hire_date"
263976,"Eran","Cusworth","1986-11-14"
21529,"Bojan","Zallocco","1986-10-14"
205246,"Nevio","Demizu","1986-05-18"
61583,"Ziva","Vecchi","1986-07-03"
422587,"Mohit","Speek","1986-01-14"
222134,"Qunsheng","Speer","1986-02-13"
259126,"Dines","Encarnacion","1986-08-02"
42625,"Harngdar","Swick","1986-05-28"
419277,"Freyja","Uhrig","1986-12-20"
451259,"Zhenhua","Milicic","1986-08-04"
225842,"Bowen","Schmezko","1986-05-30"
437985,"Reuven","Munke","1986-04-13"
457800,"Stabislas","Domenig","1986-08-04"
474291,"Juichirou","Jumpertz","1986-09-18"
109820,"Juichirou","Ghelli","1986-12-13"
217945,"Shmuel","Georg","1986-11-30"
279661,"Xiadong","Bach","1986-04-29"
293183,"Guangming","Butterworth","1986-10-01"
439788,"Irene","Setia","1986-08-10"
286451,"Shuichi","Swiler","1986-06-08"
19442,"Terresa","Perez","1986-09-12"
493133,"Lidong","Borovoy","1986-05-30"
101125,"Teiji","Eickenmeyer","1986-09-03"
293092,"Baocai","Kroha","1986-10-27"
258170,"Morrie","Sridhar","1986-03-04"
11012,"Taegyun","Speckmann","1986-12-28"
82413,"Stabislas","McFarlin","1986-07-19"
35711,"Apostol","Ghelli","1986-04-07"
244316,"Khun","Kuszyk","1986-06-30"
225156,"Conor","Flanders","1986-02-21"
19621,"Radhakrishnan","Albarhamtoshy","1986-05-07"
447021,"Shigeu","Denna","1986-04-10"
285589,"Uta","Frolund","1986-01-22"
293141,"Zhiwei","Kaminger","1986-07-04"
208132,"Sven","Krider","1986-09-25"
77078,"Yannik","Vakili","1986-11-09"
287553,"Khatoun","Zeilberger","1986-01-31"
470712,"Fox","Erva","1986-05-06"
432752,"Huai","Birrer","1986-03-28"
19712,"Kristine","Litzler","1986-01-09"
231612,"Eirik","Farrel","1986-09-19"
450610,"Wayne","Levergood","1986-05-05"
283262,"Chrisa","Cullers","1986-01-28"
490354,"Manton","Perko","1986-06-18"
28718,"Etsuo","Ratzlaff","1986-01-15"
288054,"Odysseas","Erie","1986-02-06"
424666,"Ingmar","Lambe","1986-10-21"
415948,"Marin","Ashish","1986-07-11"
279041,"JiYoung","Delaune","1986-09-04"
105131,"Sandeepan","Sidou","1986-01-19"
459196,"Neven","Leivant","1986-09-02"
81113,"Sarita","Hofting","1986-07-03"
36917,"Kolar","Karunanithi","1986-12-06"
445621,"Shmuel","Impagliazzo","1986-02-19"
74502,"Bedrich","Delaune","1986-04-06"
31476,"Susanne","Asser","1986-08-05"
207413,"Syozo","Sommen","1986-03-25"
19818,"Ashish","Ventosa","1986-08-14"
212424,"Ingmar","Pollacia","1986-08-21"
221008,"Shrikanth","Ramalingam","1986-03-10"
466678,"Rimli","Mahnke","1986-04-17"
63638,"Adib","Chepyzhov","1986-11-10"
450845,"Florina","Kavvadias","1986-12-14"
450325,"Kiyomitsu","Bottner","1986-11-07"
213241,"Berni","Thorelli","1986-08-05"
245630,"Fumiya","Vilarrasa","1986-06-27"
99366,"Remzi","Speckmann","1986-11-05"
468684,"Georgi","Middleton","1986-11-24"
43541,"Zejun","Anandan","1986-03-19"
298620,"Kamakshi","Lipner","1986-08-17"
200410,"Hyuncheol","Chaudhuri","1986-07-09"
452448,"Chandrasekaran","Kaiser","1986-12-30"
55486,"Bedir","Bashian","1986-10-05"
291792,"Takahira","Spieker","1986-06-05"
71266,"Krassimir","Sgarro","1986-08-04"
